"Date","Product","Category","Quantity","Price"
2021-03-11,"Laptop","Electronics",9,751
2021-03-12,"Laptop","Electronics",4,263
2021-03-13,"Laptop","Electronics",9,92
2021-03-14,"Laptop","Electronics",3,598
2021-03-15,"Laptop","Electronics",5,63
2021-03-16,"Laptop","Electronics",8,991
2021-03-17,"Laptop","Electronics",5,695
2021-03-18,"Laptop","Electronics",6,559
2021-03-19,"Laptop","Electronics",2,697
2021-03-20,"Laptop","Electronics",2,835
2021-03-21,"Laptop","Electronics",8,716
2021-03-22,"Laptop","Electronics",1,645
2021-03-23,"Laptop","Electronics",2,366
2021-03-24,"Laptop","Electronics",5,649
2021-03-25,"Laptop","Electronics",8,733
2021-03-26,"Laptop","Electronics",7,844
2021-03-27,"Laptop","Electronics",8,692
2021-03-28,"Laptop","Electronics",5,355
2021-03-29,"Laptop","Electronics",4,143
2021-03-30,"Laptop","Electronics",9,547
2021-03-31,"Laptop","Electronics",4,259
2021-04-01,"Laptop","Electronics",7,383
2021-04-02,"Laptop","Electronics",10,550
2021-04-03,"Laptop","Electronics",2,710
2021-04-04,"Laptop","Electronics",5,863
2021-04-05,"Laptop","Electronics",6,226
2021-04-06,"Laptop","Electronics",3,777
2021-04-07,"Laptop","Electronics",6,259
2021-04-08,"Laptop","Electronics",1,217
2021-04-09,"Laptop","Electronics",9,198
2021-04-10,"Laptop","Electronics",9,458
2021-04-11,"Laptop","Electronics",5,610
2021-04-12,"Laptop","Electronics",9,216
2021-04-13,"Laptop","Electronics",10,565
2021-04-14,"Laptop","Electronics",8,687
2021-04-15,"Laptop","Electronics",7,707
2021-04-16,"Laptop","Electronics",6,734
2021-04-17,"Laptop","Electronics",1,980
2021-04-18,"Laptop","Electronics",5,566
2021-04-19,"Laptop","Electronics",9,762
2021-04-20,"Laptop","Electronics",7,460
2021-04-21,"Laptop","Electronics",10,941
2021-04-22,"Laptop","Electronics",10,305
2021-04-23,"Laptop","Electronics",10,853
2021-04-24,"Laptop","Electronics",8,805
2021-04-25,"Laptop","Electronics",1,122
2021-04-26,"Laptop","Electronics",9,148
2021-04-27,"Laptop","Electronics",9,536
2021-04-28,"Laptop","Electronics",3,448
2021-04-29,"Laptop","Electronics",1,599
2021-04-30,"Laptop","Electronics",6,550
2021-05-01,"Laptop","Electronics",8,715
2021-05-02,"Laptop","Electronics",5,740
2021-05-03,"Laptop","Electronics",1,89
2021-05-04,"Laptop","Electronics",6,697
2021-05-05,"Laptop","Electronics",1,852
2021-05-06,"Laptop","Electronics",2,402
2021-05-07,"Laptop","Electronics",2,597
2021-05-08,"Laptop","Electronics",6,194
2021-05-09,"Laptop","Electronics",6,382
2021-05-10,"Laptop","Electronics",6,385
2021-05-11,"Laptop","Electronics",6,822
2021-05-12,"Laptop","Electronics",4,549
2021-05-13,"Laptop","Electronics",2,168
2021-05-14,"Laptop","Electronics",10,432
2021-05-15,"Laptop","Electronics",7,228
2021-05-16,"Laptop","Electronics",10,80
2021-05-17,"Laptop","Electronics",9,620
2021-05-18,"Laptop","Electronics",1,931
2021-05-19,"Laptop","Electronics",2,453
2021-05-20,"Laptop","Electronics",8,209
2021-05-21,"Laptop","Electronics",8,307
2021-05-22,"Laptop","Electronics",2,373
2021-05-23,"Laptop","Electronics",9,961
2021-05-24,"Laptop","Electronics",2,197
2021-05-25,"Laptop","Electronics",2,477
2021-05-26,"Laptop","Electronics",10,202
2021-05-27,"Laptop","Electronics",9,353
2021-05-28,"Laptop","Electronics",6,169
2021-05-29,"Laptop","Electronics",5,821
2021-05-30,"Laptop","Electronics",10,449
2021-05-31,"Laptop","Electronics",1,173
2021-06-01,"Laptop","Electronics",1,553
2021-06-02,"Laptop","Electronics",5,357
2021-06-03,"Laptop","Electronics",3,579
2021-06-04,"Laptop","Electronics",10,780
2021-06-05,"Laptop","Electronics",1,714
2021-06-06,"Laptop","Electronics",5,154
2021-06-07,"Laptop","Electronics",3,129
2021-06-08,"Laptop","Electronics",6,358
2021-06-09,"Laptop","Electronics",10,153
2021-06-10,"Laptop","Electronics",4,851
2021-06-11,"Laptop","Electronics",10,904
2021-06-12,"Laptop","Electronics",1,461
2021-06-13,"Laptop","Electronics",4,299
2021-06-14,"Laptop","Electronics",4,249
2021-06-15,"Laptop","Electronics",4,411
2021-06-16,"Laptop","Electronics",1,249
2021-06-17,"Laptop","Electronics",9,637
2021-06-18,"Laptop","Electronics",1,733
2021-06-19,"Laptop","Electronics",1,242
2021-06-20,"Laptop","Electronics",4,205
2021-06-21,"Laptop","Electronics",1,150
2021-06-22,"Laptop","Electronics",1,294
2021-06-23,"Laptop","Electronics",1,74
2021-06-24,"Laptop","Electronics",2,830
2021-06-25,"Laptop","Electronics",8,550
2021-06-26,"Laptop","Electronics",3,944
2021-06-27,"Laptop","Electronics",5,125
2021-06-28,"Laptop","Electronics",1,378
2021-06-29,"Laptop","Electronics",3,376
2021-06-30,"Laptop","Electronics",5,541
2021-07-01,"Laptop","Electronics",8,235
2021-07-02,"Laptop","Electronics",6,205
2021-07-03,"Laptop","Electronics",7,183
2021-07-04,"Laptop","Electronics",10,571
2021-07-05,"Laptop","Electronics",7,869
2021-07-06,"Laptop","Electronics",9,524
2021-07-07,"Laptop","Electronics",9,706
2021-07-08,"Laptop","Electronics",9,142
2021-07-09,"Laptop","Electronics",3,647
2021-07-10,"Laptop","Electronics",2,188
2021-07-11,"Laptop","Electronics",5,241
2021-07-12,"Laptop","Electronics",9,441
2021-07-13,"Laptop","Electronics",4,649
2021-07-14,"Laptop","Electronics",9,508
2021-07-15,"Laptop","Electronics",6,877
2021-07-16,"Laptop","Electronics",8,242
2021-07-17,"Laptop","Electronics",1,474
2021-07-18,"Laptop","Electronics",6,553
2021-07-19,"Laptop","Electronics",9,677
2021-07-20,"Laptop","Electronics",6,97
2021-07-21,"Laptop","Electronics",10,673
2021-07-22,"Laptop","Electronics",6,152
2021-07-23,"Laptop","Electronics",6,904
2021-07-24,"Laptop","Electronics",4,313
2021-07-25,"Laptop","Electronics",7,643
2021-07-26,"Laptop","Electronics",6,601
2021-07-27,"Laptop","Electronics",10,123
2021-07-28,"Laptop","Electronics",5,560
2021-07-29,"Laptop","Electronics",5,120
2021-07-30,"Laptop","Electronics",2,71
2021-07-31,"Laptop","Electronics",9,708
2021-08-01,"Laptop","Electronics",6,480
2021-08-02,"Laptop","Electronics",1,627
2021-08-03,"Laptop","Electronics",1,978
2021-08-04,"Laptop","Electronics",2,271
2021-08-05,"Laptop","Electronics",7,444
2021-08-06,"Laptop","Electronics",2,984
2021-08-07,"Laptop","Electronics",10,529
2021-08-08,"Laptop","Electronics",10,914
2021-08-09,"Laptop","Electronics",4,582
2021-08-10,"Laptop","Electronics",4,607
2021-08-11,"Laptop","Electronics",7,606
2021-08-12,"Laptop","Electronics",1,834
2021-08-13,"Laptop","Electronics",5,229
2021-08-14,"Laptop","Electronics",6,360
2021-08-15,"Laptop","Electronics",4,212
2021-08-16,"Laptop","Electronics",2,810
2021-08-17,"Laptop","Electronics",10,57
2021-08-18,"Laptop","Electronics",9,431
2021-08-19,"Laptop","Electronics",6,948
2021-08-20,"Laptop","Electronics",10,112
2021-08-21,"Laptop","Electronics",9,126
2021-08-22,"Laptop","Electronics",7,752
2021-08-23,"Laptop","Electronics",10,276
2021-08-24,"Laptop","Electronics",3,490
2021-08-25,"Laptop","Electronics",9,219
2021-08-26,"Laptop","Electronics",3,110
2021-08-27,"Laptop","Electronics",5,165
2021-08-28,"Laptop","Electronics",4,293
2021-08-29,"Laptop","Electronics",10,882
2021-08-30,"Laptop","Electronics",6,994
2021-08-31,"Laptop","Electronics",9,695
2021-09-01,"Laptop","Electronics",6,650
2021-09-02,"Laptop","Electronics",1,828
2021-09-03,"Laptop","Electronics",5,219
2021-09-04,"Laptop","Electronics",5,814
2021-09-05,"Laptop","Electronics",6,317
2021-09-06,"Laptop","Electronics",9,306
2021-09-07,"Laptop","Electronics",10,296
2021-09-08,"Laptop","Electronics",8,358
2021-09-09,"Laptop","Electronics",2,437
2021-09-10,"Laptop","Electronics",7,509
2021-09-11,"Laptop","Electronics",7,910
2021-09-12,"Laptop","Electronics",5,971
2021-09-13,"Laptop","Electronics",3,319
2021-09-14,"Laptop","Electronics",10,844
2021-09-15,"Laptop","Electronics",9,89
2021-09-16,"Laptop","Electronics",9,511
2021-09-17,"Laptop","Electronics",5,738
2021-09-18,"Laptop","Electronics",2,355
2021-09-19,"Laptop","Electronics",3,917
2021-09-20,"Laptop","Electronics",2,1000
2021-09-21,"Laptop","Electronics",4,917
2021-09-22,"Laptop","Electronics",8,969
2021-09-23,"Laptop","Electronics",5,677
2021-09-24,"Laptop","Electronics",8,381
2021-09-25,"Laptop","Electronics",6,168
2021-09-26,"Laptop","Electronics",4,862
2021-09-27,"Laptop","Electronics",5,193
2021-09-28,"Laptop","Electronics",4,168
2021-09-29,"Laptop","Electronics",10,254
2021-09-30,"Laptop","Electronics",1,307
2021-10-01,"Laptop","Electronics",1,144
2021-10-02,"Laptop","Electronics",4,358
2021-10-03,"Laptop","Electronics",6,799
2021-10-04,"Laptop","Electronics",6,320
2021-10-05,"Laptop","Electronics",7,613
2021-10-06,"Laptop","Electronics",5,549
2021-10-07,"Laptop","Electronics",2,625
2021-10-08,"Laptop","Electronics",7,645
2021-10-09,"Laptop","Electronics",10,61
2021-10-10,"Laptop","Electronics",6,707
2021-10-11,"Laptop","Electronics",2,532
2021-10-12,"Laptop","Electronics",3,258
2021-10-13,"Laptop","Electronics",1,824
2021-10-14,"Laptop","Electronics",4,562
2021-10-15,"Laptop","Electronics",9,192
2021-10-16,"Laptop","Electronics",6,374
2021-10-17,"Laptop","Electronics",10,734
2021-10-18,"Laptop","Electronics",7,509
2021-10-19,"Laptop","Electronics",3,419
2021-10-20,"Laptop","Electronics",2,542
2021-10-21,"Laptop","Electronics",9,253
2021-10-22,"Laptop","Electronics",10,886
2021-10-23,"Laptop","Electronics",9,724
2021-10-24,"Laptop","Electronics",3,182
2021-10-25,"Laptop","Electronics",7,788
2021-10-26,"Laptop","Electronics",3,395
2021-10-27,"Laptop","Electronics",6,458
2021-10-28,"Laptop","Electronics",4,561
2021-10-29,"Laptop","Electronics",10,267
2021-10-30,"Laptop","Electronics",2,429
2021-10-31,"Laptop","Electronics",7,1000
2021-11-01,"Laptop","Electronics",1,530
2021-11-02,"Laptop","Electronics",2,205
2021-11-03,"Laptop","Electronics",3,778
2021-11-04,"Laptop","Electronics",1,634
2021-11-05,"Laptop","Electronics",10,636
2021-11-06,"Laptop","Electronics",5,682
2021-11-07,"Laptop","Electronics",2,350
2021-11-08,"Laptop","Electronics",3,457
2021-11-09,"Laptop","Electronics",3,743
2021-11-10,"Laptop","Electronics",10,632
2021-11-11,"Laptop","Electronics",2,903
2021-11-12,"Laptop","Electronics",10,254
2021-11-13,"Laptop","Electronics",4,280
2021-11-14,"Laptop","Electronics",9,191
2021-11-15,"Laptop","Electronics",10,264
2021-11-16,"Laptop","Electronics",7,706
2021-11-17,"Laptop","Electronics",1,738
2021-11-18,"Laptop","Electronics",4,674
2021-11-19,"Laptop","Electronics",6,353
2021-11-20,"Laptop","Electronics",3,992
2021-11-21,"Laptop","Electronics",3,281
2021-11-22,"Laptop","Electronics",6,195
2021-11-23,"Laptop","Electronics",9,852
2021-11-24,"Laptop","Electronics",10,852
2021-11-25,"Laptop","Electronics",7,166
2021-11-26,"Laptop","Electronics",3,777
2021-11-27,"Laptop","Electronics",9,111
2021-11-28,"Laptop","Electronics",2,442
2021-11-29,"Laptop","Electronics",6,630
2021-11-30,"Laptop","Electronics",9,198
2021-12-01,"Laptop","Electronics",8,879
2021-12-02,"Laptop","Electronics",6,372
2021-12-03,"Laptop","Electronics",5,801
2021-12-04,"Laptop","Electronics",10,71
2021-12-05,"Laptop","Electronics",1,946
2021-12-06,"Laptop","Electronics",9,164
2021-12-07,"Laptop","Electronics",10,942
2021-12-08,"Laptop","Electronics",1,172
2021-12-09,"Laptop","Electronics",6,472
2021-12-10,"Laptop","Electronics",1,62
2021-12-11,"Laptop","Electronics",9,490
2021-12-12,"Laptop","Electronics",4,323
2021-12-13,"Laptop","Electronics",3,878
2021-12-14,"Laptop","Electronics",5,472
2021-12-15,"Laptop","Electronics",6,691
2021-12-16,"Laptop","Electronics",5,161
2021-12-17,"Laptop","Electronics",10,332
2021-12-18,"Laptop","Electronics",4,652
2021-12-19,"Laptop","Electronics",2,715
2021-12-20,"Laptop","Electronics",7,60
2021-12-21,"Laptop","Electronics",4,739
2021-12-22,"Laptop","Electronics",9,319
2021-12-23,"Laptop","Electronics",9,51
2021-12-24,"Laptop","Electronics",4,443
2021-12-25,"Laptop","Electronics",9,98
2021-12-26,"Laptop","Electronics",3,321
2021-12-27,"Laptop","Electronics",2,335
2021-12-28,"Laptop","Electronics",10,833
2021-12-29,"Laptop","Electronics",1,639
2021-12-30,"Laptop","Electronics",8,669
2021-12-31,"Laptop","Electronics",4,334
2021-01-01,"Smartphone","Electronics",5,776
2021-01-02,"Smartphone","Electronics",5,133
2021-01-03,"Smartphone","Electronics",6,389
2021-01-04,"Smartphone","Electronics",4,895
2021-01-05,"Smartphone","Electronics",9,195
2021-01-06,"Smartphone","Electronics",8,683
2021-01-07,"Smartphone","Electronics",7,900
2021-01-08,"Smartphone","Electronics",10,519
2021-01-09,"Smartphone","Electronics",10,993
2021-01-10,"Smartphone","Electronics",7,974
2021-01-11,"Smartphone","Electronics",7,410
2021-01-12,"Smartphone","Electronics",6,596
2021-01-13,"Smartphone","Electronics",9,703
2021-01-14,"Smartphone","Electronics",2,926
2021-01-15,"Smartphone","Electronics",9,63
2021-01-16,"Smartphone","Electronics",1,714
2021-01-17,"Smartphone","Electronics",6,273
2021-01-18,"Smartphone","Electronics",7,197
2021-01-19,"Smartphone","Electronics",3,987
2021-01-20,"Smartphone","Electronics",10,877
2021-01-21,"Smartphone","Electronics",6,301
2021-01-22,"Smartphone","Electronics",1,668
2021-01-23,"Smartphone","Electronics",10,901
2021-01-24,"Smartphone","Electronics",10,182
2021-01-25,"Smartphone","Electronics",10,578
2021-01-26,"Smartphone","Electronics",1,823
2021-01-27,"Smartphone","Electronics",8,991
2021-01-28,"Smartphone","Electronics",4,917
2021-01-29,"Smartphone","Electronics",6,211
2021-01-30,"Smartphone","Electronics",10,494
2021-01-31,"Smartphone","Electronics",4,958
2021-02-01,"Smartphone","Electronics",8,536
2021-02-02,"Smartphone","Electronics",9,710
2021-02-03,"Smartphone","Electronics",8,145
2021-02-04,"Smartphone","Electronics",3,589
2021-02-05,"Smartphone","Electronics",3,918
2021-02-06,"Smartphone","Electronics",8,624
2021-02-07,"Smartphone","Electronics",5,522
2021-02-08,"Smartphone","Electronics",7,444
2021-02-09,"Smartphone","Electronics",3,876
2021-02-10,"Smartphone","Electronics",10,386
2021-02-11,"Smartphone","Electronics",5,242
2021-02-12,"Smartphone","Electronics",10,248
2021-02-13,"Smartphone","Electronics",7,919
2021-02-14,"Smartphone","Electronics",3,159
2021-02-15,"Smartphone","Electronics",10,566
2021-02-16,"Smartphone","Electronics",7,313
2021-02-17,"Smartphone","Electronics",8,925
2021-02-18,"Smartphone","Electronics",8,394
2021-02-19,"Smartphone","Electronics",3,284
2021-02-20,"Smartphone","Electronics",10,348
2021-02-21,"Smartphone","Electronics",3,329
2021-02-22,"Smartphone","Electronics",2,315
2021-02-23,"Smartphone","Electronics",7,380
2021-02-24,"Smartphone","Electronics",4,573
2021-02-25,"Smartphone","Electronics",5,205
2021-02-26,"Smartphone","Electronics",5,271
2021-02-27,"Smartphone","Electronics",10,369
2021-02-28,"Smartphone","Electronics",10,919
2021-03-01,"Smartphone","Electronics",1,342
2021-03-02,"Smartphone","Electronics",5,347
2021-03-03,"Smartphone","Electronics",6,238
2021-03-04,"Smartphone","Electronics",10,712
2021-03-05,"Smartphone","Electronics",7,736
2021-03-06,"Smartphone","Electronics",10,664
2021-03-07,"Smartphone","Electronics",9,867
2021-03-08,"Smartphone","Electronics",2,582
2021-03-09,"Smartphone","Electronics",5,467
2021-03-10,"Smartphone","Electronics",1,703
2021-03-11,"Smartphone","Electronics",8,185
2021-03-12,"Smartphone","Electronics",2,622
2021-03-13,"Smartphone","Electronics",6,667
2021-03-14,"Smartphone","Electronics",3,533
2021-03-15,"Smartphone","Electronics",3,448
2021-03-16,"Smartphone","Electronics",8,632
2021-03-17,"Smartphone","Electronics",9,585
2021-03-18,"Smartphone","Electronics",7,959
2021-03-19,"Smartphone","Electronics",6,750
2021-03-20,"Smartphone","Electronics",6,73
2021-03-21,"Smartphone","Electronics",8,276
2021-03-22,"Smartphone","Electronics",10,953
2021-03-23,"Smartphone","Electronics",5,980
2021-03-24,"Smartphone","Electronics",7,363
2021-03-25,"Smartphone","Electronics",9,379
2021-03-26,"Smartphone","Electronics",10,988
2021-03-27,"Smartphone","Electronics",10,362
2021-03-28,"Smartphone","Electronics",7,190
2021-03-29,"Smartphone","Electronics",1,375
2021-03-30,"Smartphone","Electronics",6,646
2021-03-31,"Smartphone","Electronics",4,552
2021-04-01,"Smartphone","Electronics",7,160
2021-04-02,"Smartphone","Electronics",10,436
2021-04-03,"Smartphone","Electronics",8,916
2021-04-04,"Smartphone","Electronics",3,552
2021-04-05,"Smartphone","Electronics",4,379
2021-04-06,"Smartphone","Electronics",7,514
2021-04-07,"Smartphone","Electronics",8,692
2021-04-08,"Smartphone","Electronics",8,992
2021-04-09,"Smartphone","Electronics",3,87
2021-04-10,"Smartphone","Electronics",9,81
2021-04-11,"Smartphone","Electronics",7,345
2021-04-12,"Smartphone","Electronics",2,612
2021-04-13,"Smartphone","Electronics",7,732
2021-04-14,"Smartphone","Electronics",5,648
2021-04-15,"Smartphone","Electronics",5,240
2021-04-16,"Smartphone","Electronics",8,894
2021-04-17,"Smartphone","Electronics",4,310
2021-04-18,"Smartphone","Electronics",2,519
2021-04-19,"Smartphone","Electronics",7,826
2021-04-20,"Smartphone","Electronics",1,224
2021-04-21,"Smartphone","Electronics",10,474
2021-04-22,"Smartphone","Electronics",3,283
2021-04-23,"Smartphone","Electronics",8,747
2021-04-24,"Smartphone","Electronics",3,351
2021-04-25,"Smartphone","Electronics",2,823
2021-04-26,"Smartphone","Electronics",10,223
2021-04-27,"Smartphone","Electronics",3,572
2021-04-28,"Smartphone","Electronics",4,549
2021-04-29,"Smartphone","Electronics",6,861
2021-04-30,"Smartphone","Electronics",10,564
2021-05-01,"Smartphone","Electronics",2,124
2021-05-02,"Smartphone","Electronics",8,236
2021-05-03,"Smartphone","Electronics",1,762
2021-05-04,"Smartphone","Electronics",7,254
2021-05-05,"Smartphone","Electronics",5,383
2021-05-06,"Smartphone","Electronics",2,245
2021-05-07,"Smartphone","Electronics",5,306
2021-05-08,"Smartphone","Electronics",5,583
2021-05-09,"Smartphone","Electronics",10,593
2021-05-10,"Smartphone","Electronics",1,674
2021-05-11,"Smartphone","Electronics",2,182
2021-05-12,"Smartphone","Electronics",6,440
2021-05-13,"Smartphone","Electronics",1,528
2021-05-14,"Smartphone","Electronics",2,187
2021-05-15,"Smartphone","Electronics",7,505
2021-05-16,"Smartphone","Electronics",2,914
2021-05-17,"Smartphone","Electronics",3,322
2021-05-18,"Smartphone","Electronics",4,877
2021-05-19,"Smartphone","Electronics",10,990
2021-05-20,"Smartphone","Electronics",9,358
2021-05-21,"Smartphone","Electronics",8,471
2021-05-22,"Smartphone","Electronics",4,637
2021-05-23,"Smartphone","Electronics",7,136
2021-05-24,"Smartphone","Electronics",1,478
2021-05-25,"Smartphone","Electronics",8,904
2021-05-26,"Smartphone","Electronics",5,178
2021-05-27,"Smartphone","Electronics",8,744
2021-05-28,"Smartphone","Electronics",2,346
2021-05-29,"Smartphone","Electronics",8,701
2021-05-30,"Smartphone","Electronics",2,762
2021-05-31,"Smartphone","Electronics",5,105
2021-06-01,"Smartphone","Electronics",10,603
2021-06-02,"Smartphone","Electronics",3,735
2021-06-03,"Smartphone","Electronics",10,664
2021-06-04,"Smartphone","Electronics",2,595
2021-06-05,"Smartphone","Electronics",2,962
2021-06-06,"Smartphone","Electronics",2,156
2021-06-07,"Smartphone","Electronics",1,701
2021-06-08,"Smartphone","Electronics",8,972
2021-06-09,"Smartphone","Electronics",3,144
2021-06-10,"Smartphone","Electronics",8,575
2021-06-11,"Smartphone","Electronics",4,196
2021-06-12,"Smartphone","Electronics",3,884
2021-06-13,"Smartphone","Electronics",2,315
2021-06-14,"Smartphone","Electronics",5,539
2021-06-15,"Smartphone","Electronics",4,276
2021-06-16,"Smartphone","Electronics",3,202
2021-06-17,"Smartphone","Electronics",10,366
2021-06-18,"Smartphone","Electronics",2,223
2021-06-19,"Smartphone","Electronics",8,583
2021-06-20,"Smartphone","Electronics",8,460
2021-06-21,"Smartphone","Electronics",10,975
2021-06-22,"Smartphone","Electronics",2,218
2021-06-23,"Smartphone","Electronics",6,160
2021-06-24,"Smartphone","Electronics",4,472
2021-06-25,"Smartphone","Electronics",7,705
2021-06-26,"Smartphone","Electronics",1,891
2021-06-27,"Smartphone","Electronics",7,587
2021-06-28,"Smartphone","Electronics",4,238
2021-06-29,"Smartphone","Electronics",3,721
2021-06-30,"Smartphone","Electronics",7,260
2021-07-01,"Smartphone","Electronics",9,704
2021-07-02,"Smartphone","Electronics",3,337
2021-07-03,"Smartphone","Electronics",5,498
2021-07-04,"Smartphone","Electronics",1,945
2021-07-05,"Smartphone","Electronics",2,155
2021-07-06,"Smartphone","Electronics",4,367
2021-07-07,"Smartphone","Electronics",7,611
2021-07-08,"Smartphone","Electronics",1,66
2021-07-09,"Smartphone","Electronics",4,217
2021-07-10,"Smartphone","Electronics",3,782
2021-07-11,"Smartphone","Electronics",1,676
2021-07-12,"Smartphone","Electronics",1,545
2021-07-13,"Smartphone","Electronics",4,444
2021-07-14,"Smartphone","Electronics",9,949
2021-07-15,"Smartphone","Electronics",2,529
2021-07-16,"Smartphone","Electronics",10,510
2021-07-17,"Smartphone","Electronics",9,409
2021-07-18,"Smartphone","Electronics",5,55
2021-07-19,"Smartphone","Electronics",8,172
2021-07-20,"Smartphone","Electronics",3,797
2021-07-21,"Smartphone","Electronics",10,928
2021-07-22,"Smartphone","Electronics",2,940
2021-07-23,"Smartphone","Electronics",7,298
2021-07-24,"Smartphone","Electronics",4,648
2021-07-25,"Smartphone","Electronics",9,588
2021-07-26,"Smartphone","Electronics",10,952
2021-07-27,"Smartphone","Electronics",1,456
2021-07-28,"Smartphone","Electronics",1,166
2021-07-29,"Smartphone","Electronics",4,493
2021-07-30,"Smartphone","Electronics",10,149
2021-07-31,"Smartphone","Electronics",5,596
2021-08-01,"Smartphone","Electronics",9,636
2021-08-02,"Smartphone","Electronics",3,329
2021-08-03,"Smartphone","Electronics",5,173
2021-08-04,"Smartphone","Electronics",5,250
2021-08-05,"Smartphone","Electronics",2,308
2021-08-06,"Smartphone","Electronics",9,671
2021-08-07,"Smartphone","Electronics",3,75
2021-08-08,"Smartphone","Electronics",8,909
2021-08-09,"Smartphone","Electronics",2,761
2021-08-10,"Smartphone","Electronics",8,412
2021-08-11,"Smartphone","Electronics",2,490
2021-08-12,"Smartphone","Electronics",6,408
2021-08-13,"Smartphone","Electronics",10,237
2021-08-14,"Smartphone","Electronics",1,213
2021-08-15,"Smartphone","Electronics",4,230
2021-08-16,"Smartphone","Electronics",8,986
2021-08-17,"Smartphone","Electronics",8,920
2021-08-18,"Smartphone","Electronics",3,528
2021-08-19,"Smartphone","Electronics",9,305
2021-08-20,"Smartphone","Electronics",10,185
2021-08-21,"Smartphone","Electronics",6,471
2021-08-22,"Smartphone","Electronics",3,420
2021-08-23,"Smartphone","Electronics",1,679
2021-08-24,"Smartphone","Electronics",4,842
2021-08-25,"Smartphone","Electronics",9,657
2021-08-26,"Smartphone","Electronics",1,808
2021-08-27,"Smartphone","Electronics",6,74
2021-08-28,"Smartphone","Electronics",4,184
2021-08-29,"Smartphone","Electronics",9,536
2021-08-30,"Smartphone","Electronics",8,488
2021-08-31,"Smartphone","Electronics",6,76
2021-09-01,"Smartphone","Electronics",6,892
2021-09-02,"Smartphone","Electronics",1,330
2021-09-03,"Smartphone","Electronics",9,275
2021-09-04,"Smartphone","Electronics",2,118
2021-09-05,"Smartphone","Electronics",3,254
2021-09-06,"Smartphone","Electronics",1,158
2021-09-07,"Smartphone","Electronics",1,297
2021-09-08,"Smartphone","Electronics",1,517
2021-09-09,"Smartphone","Electronics",8,265
2021-09-10,"Smartphone","Electronics",2,353
2021-09-11,"Smartphone","Electronics",1,225
2021-09-12,"Smartphone","Electronics",7,192
2021-09-13,"Smartphone","Electronics",6,384
2021-09-14,"Smartphone","Electronics",2,564
